filename,image_path,split,mean_score,score_bin,automatic_status,confidence,failure_reason,corners_xy,overlay_path,crop_path,mask_path,manual_status,manual_notes
20251021_124417.jpg,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set/20251021_124417.jpg,train,2.25,low_0_3,detected,0.8086938276678165,,"[[1388.68994140625, 932.47998046875], [2746.39990234375, 892.6400146484375], [2695.219970703125, 2352.909912109375], [1258.3599853515625, 2245.9599609375]]",outputs/frame_audit/overlays/20251021_124417_overlay.jpg,outputs/frame_audit/crops/20251021_124417_crop.jpg,outputs/frame_audit/masks/20251021_124417_mask.png,approved,Outer frame polygon and rectified inside-frame crop approved.
20251021_154331.jpg,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set/20251021_154331.jpg,train,2.25,low_0_3,detected,0.8021565745827912,,"[[1314.6400146484375, 992.4299926757812], [2676.820068359375, 1016.2899780273438], [2676.389892578125, 2425.590087890625], [1241.3900146484375, 2373.570068359375]]",outputs/frame_audit/overlays/20251021_154331_overlay.jpg,outputs/frame_audit/crops/20251021_154331_crop.jpg,outputs/frame_audit/masks/20251021_154331_mask.png,approved,Outer frame polygon and rectified inside-frame crop approved.
20251021_160738.jpg,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set/20251021_160738.jpg,train,2.25,low_0_3,detected,0.8228939417045457,,"[[1448.27001953125, 892.6300048828125], [2813.75, 926.0800170898438], [2774.800048828125, 2359.93994140625], [1324.6500244140625, 2252.14990234375]]",outputs/frame_audit/overlays/20251021_160738_overlay.jpg,outputs/frame_audit/crops/20251021_160738_crop.jpg,outputs/frame_audit/masks/20251021_160738_mask.png,approved,Outer frame polygon and rectified inside-frame crop approved.
20251021_161101.jpg,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set/20251021_161101.jpg,train,2.25,low_0_3,detected,0.8183397073910338,,"[[1474.5799560546875, 905.5700073242188], [2857.550048828125, 948.3200073242188], [2782.22998046875, 2384.47998046875], [1350.699951171875, 2255.89990234375]]",outputs/frame_audit/overlays/20251021_161101_overlay.jpg,outputs/frame_audit/crops/20251021_161101_crop.jpg,outputs/frame_audit/masks/20251021_161101_mask.png,approved,Outer frame polygon and rectified inside-frame crop approved.
20251021_161150.jpg,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set/20251021_161150.jpg,val,1.0,low_0_3,detected,0.8329731640525426,,"[[1455.010009765625, 886.530029296875], [2848.6201171875, 895.0], [2812.010009765625, 2349.8701171875], [1368.25, 2253.889892578125]]",outputs/frame_audit/overlays/20251021_161150_overlay.jpg,outputs/frame_audit/crops/20251021_161150_crop.jpg,outputs/frame_audit/masks/20251021_161150_mask.png,approved,Outer frame polygon and rectified inside-frame crop approved.
20251021_160632.jpg,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set/20251021_160632.jpg,val,1.75,low_0_3,detected,0.8158795789957982,,"[[1488.3199462890625, 910.9099731445312], [2860.31005859375, 965.3400268554688], [2794.280029296875, 2391.550048828125], [1354.6800537109375, 2277.72998046875]]",outputs/frame_audit/overlays/20251021_160632_overlay.jpg,outputs/frame_audit/crops/20251021_160632_crop.jpg,outputs/frame_audit/masks/20251021_160632_mask.png,approved,Outer frame polygon and rectified inside-frame crop approved.
20251021_160615.jpg,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set/20251021_160615.jpg,val,2.0,low_0_3,detected,0.817390478227054,,"[[1398.6500244140625, 934.8800048828125], [2787.760009765625, 887.6599731445312], [2735.85009765625, 2369.4599609375], [1288.050048828125, 2260.7099609375]]",outputs/frame_audit/overlays/20251021_160615_overlay.jpg,outputs/frame_audit/crops/20251021_160615_crop.jpg,outputs/frame_audit/masks/20251021_160615_mask.png,approved,Outer frame polygon and rectified inside-frame crop approved.
20251021_154700.jpg,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set/20251021_154700.jpg,val,2.25,low_0_3,detected,0.7899882525304217,,"[[1338.199951171875, 1019.8400268554688], [2691.300048828125, 990.2999877929688], [2704.050048828125, 2423.2900390625], [1248.0899658203125, 2387.909912109375]]",outputs/frame_audit/overlays/20251021_154700_overlay.jpg,outputs/frame_audit/crops/20251021_154700_crop.jpg,outputs/frame_audit/masks/20251021_154700_mask.png,approved,Outer frame polygon and rectified inside-frame crop approved.
20251021_154614.jpg,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set/20251021_154614.jpg,train,4.25,medium_3_8,detected,0.7499834442802221,,"[[1365.510009765625, 1112.9100341796875], [2712.590087890625, 935.9400024414062], [2731.75, 2440.6201171875], [1280.75, 2394.97998046875]]",outputs/frame_audit/overlays/20251021_154614_overlay.jpg,outputs/frame_audit/crops/20251021_154614_crop.jpg,outputs/frame_audit/masks/20251021_154614_mask.png,approved,Outer frame polygon and rectified inside-frame crop approved.
20251021_124201.jpg,/home/nfs/data/nvme_datasets/Pictures_CFSB_leaf_damage/RSFB-Phenotyping_training_set/RSFB-Phenotyping_training_set/20251021_124201.jpg,train,4.5,medium_3_8,detected,0.808413855146718,,"[[1420.5400390625, 929.02001953125], [2776.280029296875, 982.1400146484375], [2719.39990234375, 2398.8701171875], [1295.1800537109375, 2277.39990234375]]",outputs/frame_audit/overlays/20251021_124201_overlay.jpg,outputs/frame_audit/crops/20251021_124201_crop.jpg,outputs/frame_audit/masks/20251021_124201_mask.png,approved,Outer frame polygon and rectified inside-frame crop approved.
