filename,split,expert_score,score_bin,frame_confidence,region_count,leaf_area,hole_area,hole_count,pitting_area,pitting_count,damaged_area,damage_percentage,overlay_path,mask_path,review_status,leaf_mask_usable,holes_usable,pitting_usable,soil_false_damage,damage_percentage_believable,review_notes
20251021_132633.jpg,train,0.5,low_0_3,0.8543068159192431,6,27713,0,0,0,0,0,0.0,outputs/direct_damage_audit/overlays/20251021_132633_damage.jpg,outputs/direct_damage_audit/masks/20251021_132633_damage_mask.png,partial,True,False,True,False,False,Leaf mask and pitting are acceptable; shot-hole detection is not reliable.
20251021_161203.jpg,train,1.0,low_0_3,0.8337266663436798,5,13623,0,0,0,0,0,0.0,outputs/direct_damage_audit/overlays/20251021_161203_damage.jpg,outputs/direct_damage_audit/masks/20251021_161203_damage_mask.png,partial,True,False,True,False,False,Leaf mask and pitting are acceptable; shot-hole detection is not reliable.
20251021_161301.jpg,train,1.5,low_0_3,0.8224687106237907,9,49099,80,4,28,2,108,0.219963746715819,outputs/direct_damage_audit/overlays/20251021_161301_damage.jpg,outputs/direct_damage_audit/masks/20251021_161301_damage_mask.png,partial,True,False,True,False,False,Leaf mask and pitting are acceptable; shot-hole detection is not reliable.
20251021_154436.jpg,train,2.5,low_0_3,0.7984456890504221,6,24552,0,0,41,2,41,0.1669925057021831,outputs/direct_damage_audit/overlays/20251021_154436_damage.jpg,outputs/direct_damage_audit/masks/20251021_154436_damage_mask.png,partial,True,False,True,False,False,Leaf mask and pitting are acceptable; shot-hole detection is not reliable.
20251021_122322.jpg,train,2.75,low_0_3,0.8137570979260209,4,16924,0,0,91,2,91,0.5376979437485228,outputs/direct_damage_audit/overlays/20251021_122322_damage.jpg,outputs/direct_damage_audit/masks/20251021_122322_damage_mask.png,partial,True,False,True,False,False,Leaf mask and pitting are acceptable; shot-hole detection is not reliable.
20251021_155407.jpg,val,0.75,low_0_3,0.797328841185239,11,47420,0,0,0,0,0,0.0,outputs/direct_damage_audit/overlays/20251021_155407_damage.jpg,outputs/direct_damage_audit/masks/20251021_155407_damage_mask.png,partial,True,False,True,False,False,Leaf mask and pitting are acceptable; shot-hole detection is not reliable.
20251021_123710.jpg,val,2.25,low_0_3,0.8213491712400066,6,18822,0,0,0,0,0,0.0,outputs/direct_damage_audit/overlays/20251021_123710_damage.jpg,outputs/direct_damage_audit/masks/20251021_123710_damage_mask.png,partial,True,False,True,False,False,Leaf mask and pitting are acceptable; shot-hole detection is not reliable.
20251021_160809.jpg,val,2.45,low_0_3,0.8055104246938773,6,31485,12,1,0,0,12,0.0381133873272987,outputs/direct_damage_audit/overlays/20251021_160809_damage.jpg,outputs/direct_damage_audit/masks/20251021_160809_damage_mask.png,partial,True,False,True,False,False,Leaf mask and pitting are acceptable; shot-hole detection is not reliable.
20251021_131711.jpg,val,3.0,low_0_3,0.8400083223270945,3,16744,0,0,0,0,0,0.0,outputs/direct_damage_audit/overlays/20251021_131711_damage.jpg,outputs/direct_damage_audit/masks/20251021_131711_damage_mask.png,partial,True,False,True,False,False,Leaf mask and pitting are acceptable; shot-hole detection is not reliable.
20251021_131721.jpg,val,3.0,low_0_3,0.853123446341279,6,30099,0,0,0,0,0,0.0,outputs/direct_damage_audit/overlays/20251021_131721_damage.jpg,outputs/direct_damage_audit/masks/20251021_131721_damage_mask.png,partial,True,False,True,False,False,Leaf mask and pitting are acceptable; shot-hole detection is not reliable.
