filename,split,mean_score,score_bin,frame_status,frame_confidence,region_count,plant_pixels,weight_sum,regions_json,mask_path,overlay_path,review_status,missed_plant,false_region,split_or_merged_plant,damaged_tissue_missing,area_weight_usable,review_notes
20251021_161035.jpg,train,1.25,low_0_3,detected,0.8192129406823757,3,16204,1.0,"[{""region_id"": 1, ""mask_pixels"": 5154, ""weight"": 0.3180696124413725, ""patch_box"": [873, 130, 1041, 353]}, {""region_id"": 2, ""mask_pixels"": 2421, ""weight"": 0.1494075536904468, ""patch_box"": [499, 281, 680, 437]}, {""region_id"": 3, ""mask_pixels"": 8629, ""weight"": 0.5325228338681807, ""patch_box"": [262, 873, 535, 1118]}]",outputs/plant_weight_audit/masks/20251021_161035_mask.png,outputs/plant_weight_audit/overlays/20251021_161035_weights.jpg,pass,False,False,False,False,True,Manual visual review approved the plant masks and area weights.
20251021_153602.jpg,train,2.0,low_0_3,detected,0.7937144232861231,6,27210,1.0,"[{""region_id"": 1, ""mask_pixels"": 6834, ""weight"": 0.25115766262403527, ""patch_box"": [996, 143, 1240, 373]}, {""region_id"": 2, ""mask_pixels"": 4351, ""weight"": 0.15990444689452407, ""patch_box"": [712, 205, 934, 363]}, {""region_id"": 3, ""mask_pixels"": 7123, ""weight"": 0.26177875780962884, ""patch_box"": [344, 844, 632, 1054]}, {""region_id"": 4, ""mask_pixels"": 4383, ""weight"": 0.16108048511576625, ""patch_box"": [851, 849, 1079, 1015]}, {""region_id"": 5, ""mask_pixels"": 2694, ""weight"": 0.0990077177508269, ""patch_box"": [252, 867, 403, 1058]}, {""region_id"": 6, ""mask_pixels"": 1825, ""weight"": 0.06707092980521867, ""patch_box"": [28, 897, 193, 1052]}]",outputs/plant_weight_audit/masks/20251021_153602_mask.png,outputs/plant_weight_audit/overlays/20251021_153602_weights.jpg,pass,False,False,False,False,True,Manual visual review approved the plant masks and area weights.
20251021_124417.jpg,train,2.25,low_0_3,detected,0.8086938276678165,4,36936,1.0,"[{""region_id"": 1, ""mask_pixels"": 15351, ""weight"": 0.41561078622482134, ""patch_box"": [769, 352, 1090, 638]}, {""region_id"": 2, ""mask_pixels"": 3993, ""weight"": 0.10810591293047433, ""patch_box"": [323, 362, 503, 566]}, {""region_id"": 3, ""mask_pixels"": 9400, ""weight"": 0.25449426034221356, ""patch_box"": [1136, 403, 1405, 613]}, {""region_id"": 4, ""mask_pixels"": 8192, ""weight"": 0.2217890405024908, ""patch_box"": [838, 991, 1047, 1235]}]",outputs/plant_weight_audit/masks/20251021_124417_mask.png,outputs/plant_weight_audit/overlays/20251021_124417_weights.jpg,pass,False,False,False,False,True,Manual visual review approved the plant masks and area weights.
20251021_154331.jpg,train,2.25,low_0_3,detected,0.8021565745827912,6,22477,1.0,"[{""region_id"": 1, ""mask_pixels"": 4351, ""weight"": 0.19357565511411665, ""patch_box"": [973, 218, 1140, 437]}, {""region_id"": 2, ""mask_pixels"": 4145, ""weight"": 0.18441073096943542, ""patch_box"": [705, 223, 880, 456]}, {""region_id"": 3, ""mask_pixels"": 2817, ""weight"": 0.1253281131823642, ""patch_box"": [430, 250, 610, 443]}, {""region_id"": 4, ""mask_pixels"": 2590, ""weight"": 0.11522890065400186, ""patch_box"": [108, 313, 296, 464]}, {""region_id"": 5, ""mask_pixels"": 1313, ""weight"": 0.05841526894158473, ""patch_box"": [721, 807, 875, 951]}, {""region_id"": 6, ""mask_pixels"": 7261, ""weight"": 0.32304133113849715, ""patch_box"": [421, 946, 651, 1176]}]",outputs/plant_weight_audit/masks/20251021_154331_mask.png,outputs/plant_weight_audit/overlays/20251021_154331_weights.jpg,pass,False,False,False,False,True,Manual visual review approved the plant masks and area weights.
20251021_160738.jpg,train,2.25,low_0_3,detected,0.8228939417045457,3,15525,1.0,"[{""region_id"": 1, ""mask_pixels"": 3814, ""weight"": 0.2456682769726248, ""patch_box"": [1224, 210, 1411, 386]}, {""region_id"": 2, ""mask_pixels"": 6449, ""weight"": 0.41539452495974233, ""patch_box"": [1016, 229, 1254, 437]}, {""region_id"": 3, ""mask_pixels"": 5262, ""weight"": 0.33893719806763284, ""patch_box"": [54, 951, 234, 1172]}]",outputs/plant_weight_audit/masks/20251021_160738_mask.png,outputs/plant_weight_audit/overlays/20251021_160738_weights.jpg,pass,False,False,False,False,True,Manual visual review approved the plant masks and area weights.
20251021_130744.jpg,val,1.25,low_0_3,detected,0.8386727259508217,7,30287,1.0,"[{""region_id"": 1, ""mask_pixels"": 2340, ""weight"": 0.0772608710007594, ""patch_box"": [920, 245, 1071, 399]}, {""region_id"": 2, ""mask_pixels"": 6329, ""weight"": 0.20896754383068644, ""patch_box"": [281, 273, 467, 523]}, {""region_id"": 3, ""mask_pixels"": 3433, ""weight"": 0.11334896160068676, ""patch_box"": [1285, 280, 1387, 494]}, {""region_id"": 4, ""mask_pixels"": 2224, ""weight"": 0.07343084491696107, ""patch_box"": [858, 309, 1010, 469]}, {""region_id"": 5, ""mask_pixels"": 1604, ""weight"": 0.05296001584838379, ""patch_box"": [0, 387, 102, 535]}, {""region_id"": 6, ""mask_pixels"": 9847, ""weight"": 0.32512299006174267, ""patch_box"": [325, 994, 607, 1242]}, {""region_id"": 7, ""mask_pixels"": 4510, ""weight"": 0.14890877274077988, ""patch_box"": [33, 1077, 281, 1235]}]",outputs/plant_weight_audit/masks/20251021_130744_mask.png,outputs/plant_weight_audit/overlays/20251021_130744_weights.jpg,pass,False,False,False,False,True,Manual visual review approved the plant masks and area weights.
20251021_161342.jpg,val,1.5,low_0_3,detected,0.8272036512386499,5,36094,1.0,"[{""region_id"": 1, ""mask_pixels"": 10131, ""weight"": 0.28068377015570456, ""patch_box"": [970, 261, 1175, 541]}, {""region_id"": 2, ""mask_pixels"": 10795, ""weight"": 0.299080179531224, ""patch_box"": [408, 354, 681, 631]}, {""region_id"": 3, ""mask_pixels"": 4260, ""weight"": 0.1180251565357123, ""patch_box"": [1207, 882, 1415, 1041]}, {""region_id"": 4, ""mask_pixels"": 7739, ""weight"": 0.214412367706544, ""patch_box"": [893, 988, 1109, 1226]}, {""region_id"": 5, ""mask_pixels"": 3169, ""weight"": 0.08779852607081509, ""patch_box"": [503, 1037, 702, 1210]}]",outputs/plant_weight_audit/masks/20251021_161342_mask.png,outputs/plant_weight_audit/overlays/20251021_161342_weights.jpg,pass,False,False,False,False,True,Manual visual review approved the plant masks and area weights.
20251021_160809.jpg,val,2.45,low_0_3,detected,0.8055104246938773,6,32339,1.0,"[{""region_id"": 1, ""mask_pixels"": 7531, ""weight"": 0.2328767123287671, ""patch_box"": [960, 319, 1181, 532]}, {""region_id"": 2, ""mask_pixels"": 7595, ""weight"": 0.23485574693095024, ""patch_box"": [282, 357, 520, 588]}, {""region_id"": 3, ""mask_pixels"": 5618, ""weight"": 0.17372213117288723, ""patch_box"": [775, 368, 1004, 574]}, {""region_id"": 4, ""mask_pixels"": 1080, ""weight"": 0.03339620891184019, ""patch_box"": [12, 439, 169, 573]}, {""region_id"": 5, ""mask_pixels"": 5048, ""weight"": 0.15609635424719379, ""patch_box"": [852, 927, 1074, 1104]}, {""region_id"": 6, ""mask_pixels"": 5467, ""weight"": 0.16905284640836143, ""patch_box"": [337, 979, 536, 1204]}]",outputs/plant_weight_audit/masks/20251021_160809_mask.png,outputs/plant_weight_audit/overlays/20251021_160809_weights.jpg,pass,False,False,False,False,True,Manual visual review approved the plant masks and area weights.
20251021_160754.jpg,val,2.5,low_0_3,detected,0.8046242029099915,7,25625,1.0,"[{""region_id"": 1, ""mask_pixels"": 7627, ""weight"": 0.2976390243902439, ""patch_box"": [699, 411, 960, 626]}, {""region_id"": 2, ""mask_pixels"": 3317, ""weight"": 0.1294439024390244, ""patch_box"": [1020, 417, 1207, 612]}, {""region_id"": 3, ""mask_pixels"": 7011, ""weight"": 0.2736, ""patch_box"": [48, 428, 296, 619]}, {""region_id"": 4, ""mask_pixels"": 2253, ""weight"": 0.0879219512195122, ""patch_box"": [301, 474, 466, 651]}, {""region_id"": 5, ""mask_pixels"": 286, ""weight"": 0.011160975609756098, ""patch_box"": [81, 665, 196, 786]}, {""region_id"": 6, ""mask_pixels"": 2395, ""weight"": 0.09346341463414634, ""patch_box"": [268, 1044, 429, 1191]}, {""region_id"": 7, ""mask_pixels"": 2736, ""weight"": 0.10677073170731707, ""patch_box"": [269, 1120, 438, 1266]}]",outputs/plant_weight_audit/masks/20251021_160754_mask.png,outputs/plant_weight_audit/overlays/20251021_160754_weights.jpg,pass,False,False,False,False,True,Manual visual review approved the plant masks and area weights.
20251021_131721.jpg,val,3.0,low_0_3,detected,0.853123446341279,6,30575,1.0,"[{""region_id"": 1, ""mask_pixels"": 5559, ""weight"": 0.18181520850367947, ""patch_box"": [197, 389, 426, 599]}, {""region_id"": 2, ""mask_pixels"": 1694, ""weight"": 0.05540474243663124, ""patch_box"": [974, 670, 1134, 840]}, {""region_id"": 3, ""mask_pixels"": 5117, ""weight"": 0.16735895339329518, ""patch_box"": [252, 685, 456, 963]}, {""region_id"": 4, ""mask_pixels"": 5507, ""weight"": 0.18011447260834015, ""patch_box"": [1024, 878, 1245, 1081]}, {""region_id"": 5, ""mask_pixels"": 6932, ""weight"": 0.22672117743254291, ""patch_box"": [296, 901, 507, 1167]}, {""region_id"": 6, ""mask_pixels"": 5766, ""weight"": 0.18858544562551105, ""patch_box"": [298, 1150, 483, 1392]}]",outputs/plant_weight_audit/masks/20251021_131721_mask.png,outputs/plant_weight_audit/overlays/20251021_131721_weights.jpg,pass,False,False,False,False,True,Manual visual review approved the plant masks and area weights.
